month,ttf,brent,import_price_gas,coal_price,des_heating,heating,des_storage,storage,des_demand,demand
2018-06,21.760809523809524,75.97952380952381,7.4489,96.20476190476191,5926.004924225081,1058.5300000000002,65768.99353122269,51846.0,8368.06203126937,-3941.0
2018-07,22.203272727272722,74.75250000000001,7.5988,98.34523809523809,6155.453578533736,827.9099999999997,67727.24971971475,64728.0,8875.869384083217,-2802.0
2018-08,23.89613043478261,73.92260869565217,8.0849,97.23913043478262,6584.877719254125,1420.4100000000005,69202.04533876237,76719.0,7584.871747178453,-3902.0
2018-09,27.8815,79.15999999999998,9.5216,100.5894736842105,5963.331929418959,2004.82,69246.42153519094,89772.0,7018.31959241655,-895.0
2018-10,26.13669565217391,80.52913043478262,8.791,100.01521739130436,5470.6174689488735,4633.3499999999985,72061.49139828618,99598.0,6957.858229321315,4684.0
2018-11,24.836409090909093,66.6045,8.2651,87.8642857142857,5593.35394101847,8240.529999999999,75700.83242658427,104381.0,8506.435094234179,15996.0
2018-12,23.905949999999997,57.607777777777784,7.9762,88.23947368421051,5731.436296024575,11354.38,76820.00544550284,98332.0,5840.950410084994,19243.0
2019-01,21.695227272727273,60.12190476190477,7.2623,81.9125,6592.9039677510045,13290.120000000004,75807.80820686041,83050.494,8895.100006068875,29776.5
2019-02,18.055849999999996,64.2763157894737,6.0058,74.2,4506.0979705537475,9397.139999999996,75643.01881796545,63741.725,6924.055809099176,21263.717999999997
2019-03,15.626380952380952,67.07238095238095,5.1787,69.33571428571429,4993.8499098644415,8391.52,78099.25281448716,52024.415,5556.251351712817,11882.607000000005
2019-04,14.938809523809525,71.59714285714286,4.9222,61.430952380952384,5761.396115048146,5743.06,84665.10650892553,50884.041,6940.82712349311,853.179999999993
2019-05,13.25560869565217,70.33954545454546,4.3411,59.17272727272728,7126.616179358836,4044.1700000000014,83242.75025649741,58908.301,8125.047221037919,-2565.357000000018
2019-06,10.877800000000002,63.196500000000015,3.588,51.38,6022.114924225081,1154.64,84953.51853122268,71030.525,6135.897031269362,-6173.165000000008
2019-07,11.044043478260871,64.3457142857143,3.6204,58.82272727272728,6667.083578533736,1339.54,88708.04271971475,85708.793,9325.29838408322,-2352.5709999999967
2019-08,11.275545454545453,59.715,3.6768,56.4840909090909,6332.657719254124,1168.1899999999996,89177.63633876237,96694.591,9683.000747178454,-1803.8709999999994
2019-09,13.261571428571425,62.468500000000006,4.2053,60.8175,6138.971929418959,2180.46,86555.04753519093,107080.62599999999,9606.644592416547,1693.3249999999969
2019-10,15.714217391304347,59.713043478260865,5.0572,60.18260869565218,5561.067468948875,4723.8,86089.80739828617,113626.31599999999,9210.933229321314,6937.074999999998
2019-11,15.93509523809524,62.58526315789473,5.15,57.99749999999999,5257.7839410184715,7904.96,86779.10742658426,115459.275,5457.967094234185,12947.532000000007
2019-12,14.203761904761905,65.26550000000002,4.6205,54.95,4540.796296024574,10163.739999999998,90020.26744550283,111532.26199999999,2362.7654100849813,15764.814999999988
2020-01,11.166954545454546,63.599999999999994,3.6334,51.62619047619047,4340.783967750998,11037.999999999998,97628.60820686039,104871.29399999998,8526.89300606888,29408.293000000005
2020-02,9.091899999999999,55.55947368421052,2.9078,48.75789473684211,4014.2779705537514,8905.32,96820.39981796544,84919.10599999999,5628.831809099185,19968.494000000006
2020-03,8.384636363636364,33.664545454545454,2.7189,49.51818181818182,5493.479909864441,8891.15,99417.27881448716,73342.44099999999,8910.38235171281,15236.737999999998
2020-04,6.671333333333334,26.53714285714285,2.1203,44.654761904761905,5918.306115048144,5899.969999999998,100092.47350892553,66311.408,5501.4631234931085,-586.1840000000084
2020-05,4.956380952380952,32.198499999999996,1.5752,42.13250000000001,6931.106179358835,3848.66,99627.62325649742,75293.174,7458.0452210379335,-3232.3590000000045
2020-06,5.322318181818181,40.63636363636363,1.7522,46.83636363636363,5813.514924225081,946.04,101159.59753122268,87236.60399999999,11871.199031269365,-437.86300000000483
2020-07,5.395652173913043,43.20045454545455,1.801,50.29772727272727,6631.893578533736,1304.35,98029.30171971474,95030.052,13117.271384083226,1439.4020000000091
2020-08,8.321619047619047,44.96904761904762,2.8619,50.078571428571436,6415.727719254123,1251.2599999999995,93277.23133876237,100794.186,11167.147747178458,-319.7239999999947
2020-09,11.495636363636363,41.68149999999999,3.9521,53.99047619047618,5822.171929418959,1863.66,87429.25153519095,107954.83000000002,9774.167592416556,1860.8480000000052
2020-10,14.181090909090909,41.52545454545455,4.8896,56.55681818181818,5725.537468948875,4888.27,84745.23539828618,112281.744,9273.970229321309,7000.111999999994
2020-11,13.946333333333335,43.47842105263158,4.8358,54.3475,5226.203941018472,7873.38,81126.48242658426,109806.65,4755.257094234172,12244.821999999993
2020-12,16.42222727272727,50.09500000000001,5.8561,66.86136363636363,4979.6962960245755,10602.64,80624.64344550285,102136.638,6067.271410084997,19469.321000000004
