,month,ttf,brent,coal_price,exchange_rate,des_heating,heating,des_storage,storage,WTI_oil
41,2017-07,14.838809523809529,49.09631578947369,82.405,1.1520630478858949,137.06840788611945,26.07791666666667,752.9224971971474,722.93,46.87904761904762
42,2017-08,15.826173913043482,51.906956521739126,85.52391304347827,1.1817317423613176,139.81432748446096,32.221250000000005,764.3704533876237,839.54,48.31043478260871
43,2017-09,17.083,55.65199999999999,90.91750000000002,1.1911359344209944,137.22524852956167,54.75625,773.9942153519094,979.25,50.22666666666667
44,2017-10,17.94018181818182,57.71000000000001,91.775,1.176206648349762,121.07223893643489,103.62916666666666,778.3649139828617,1053.73,51.88863636363637
45,2017-11,19.45863636363636,62.82199999999999,92.0904761904762,1.172959668295724,126.2109154378848,181.36041666666665,822.8583242658427,1109.66,56.90954545454544
46,2017-12,20.5774,64.06649999999999,94.1975,1.1831899824596586,115.8901311671788,233.0347916666668,794.5000544550285,1009.62,57.99250000000001
47,2018-01,18.644590909090912,69.02238095238094,93.09210526315788,1.217702637548032,97.0819576614792,236.60729166666667,737.373142068604,809.8,63.60454545454545
48,2018-02,18.468200000000003,65.70368421052632,83.93157894736842,1.235610842704773,158.6851660532032,260.581875,766.6229381796546,647.61,61.96499999999999
49,2018-03,18.516809523809528,66.8090476190476,80.27857142857144,1.2334206266836687,163.1583314555092,233.943125,693.9983781448717,433.25,62.68619047619048
50,2018-04,19.24990476190476,72.0695,82.85952380952384,1.2286932581946963,91.13991906350304,90.75791666666667,651.5106550892554,313.7,66.25
51,2018-05,21.604,77.17681818181818,90.81136363636362,1.1832774151926455,98.80512873664236,34.587499999999984,636.7444925649742,393.4,69.75913043478259
52,2018-06,21.760809523809524,75.97952380952381,96.20476190476192,1.1675765684672763,123.45843592135586,22.05270833333334,657.6899353122269,518.46,66.77952380952381
53,2018-07,22.20327272727272,74.75250000000001,98.34523809523807,1.1687707413326611,128.23861621945278,17.248124999999995,677.2724971971475,647.28,69.08454545454543
